text,label
"

Well, if everything wouldn't be okay, then tell us what it is that
wouldn't be okay.   That is, if religions were no longer tax-exempt, then
what would be wrong with their lobbying or otherwise attempting to
influence politics?",0
"
Oh yeah, how come Dino could never take the Caps out of the Patrick
Division?  He choked up 3 games to 1 last year and got swept away in
the second round two years ago.  He rarely, if ever, makes it out of the
division.


So are the Islanders, but they can still pull it out.  Vancouver has Winnipeg's
 number, so it really doesn't matter.



 Kings always seem to go at least 6 or 7, they never play a four or five
game serious.  There's a difference between battling it out and pulling it
out, as I take Calgary to pull it out in 7.",1
"#>In article <1993Apr20.070156.26910@abo.fi> MANDTBACKA@FINABO.ABO.FI
#
#>#      Ah, that old chestnut, your claim that moral objectivism ==
#>#scientific objectivism. I don't agree with it; now try proving, through
#>#some objective moral test, that my disagreeing is incorrect. =)
#> 
#> Your claim, which you have deleted now was ""not universal => not objective"".
#
#      I've deleted it now, in the interest of brevity. Go back a step
#and you'll see it was still in your post. Yes, that was my claim; if you
#can refute it, then please do so.

Firstly, an apology.  You hadn't deleted your claim, and I was mistaken in
saying you had. Sorry for any offence caused.

Secondly,  how can I refute your definition?  I can only point up its
logical implications, and say that they seem to contradict the usage
of the word ""objective"" in other areas.  Indeed, by your definition, an
objective x is an oxymoron, for all x.  I have no quibble with that
belief, other than that it is useless, and that ""objective"" is a perfectly
good word.

#> So, what *is* objective?  Not the age of the universe, anyway, as I show
#> above.
#
#      How many ages can the universe have, and still be internally self-
#consistent? I'd be amazed if it was more than one. How many different
#moral systems can different members of society have - indeed, single
#individuals, in some cases - and humanity still stick together?

Begging the question.  People can have many opinions about the age
of the universe and humanity can still stick together.   You are
saying that the universe has a _real_ age, independent of my beliefs about
it.  Why?

#      The age of the universe, like most scientific facts, can be
#emirically verified through means that'll give the same result no matter
#who performs the testing (albeit there are error bars that may be on the
#largish side...). 

This assumes that the universe has a real age, or any kind of reality
which doesn't depend on what we think.   Why should an extreme Biblical
Creationist give a rat's ass about the means of which you speak?

#I've heard of no way to verify morality in a
#consistent way, much less compute the errors of the measurement; care to
#enlighten me?

The same is true of pain, but painkillers exist, and can be predicted
to work with some accuracy better than a random guess.  I wrote
elsewhere that morality should be hypotheses about observed value.
If a moral system makes a prediction ""It will be better if..."",
that can be tested, and is falsifiable in the same way as a prediction
""This drug will relieve pain...""

#      People's *ideas* about the age of object X are *not* objective;
#you can have any idea you like, and I can't stop you. Universae and
#their ages is another ballgame; they are what they are, and if you
#dislike some detail of them, that's a problem with your *opinion* of
#them. 

Sure.  Assume an objective reality, and you get statements like this.

#I claim that morality is an opinion of ours, and as such
#subjective and individual. If I'm wrong, then some more-or-less
#objectively ""real"" thing exists, which you label ""objective morality"";
#can you back up this positive claim of existence?

Can you back up your positive claim above?  No.  That's because it's an
assumption.  I make the same assumption about values, on the basis
that there is no logical difference between the two, and the empirical
basis of the two is precisely the same.

#>#      Point: Morals are, in essence, personal opinions. Usually
#>#(ideally) well-founded, motivated such, but nonetheless personal. The
#>#fact that a real large lot of people agree on some moral question,
#>#sometimes even for the same reason, does not make morals objective; it
#>#makes humans somewhat alike in their opinions on that moral question,
#>#which can be good for the evolution of a social species.
#> 
#> And if a ""real large lot"" (nice phrase) of people agree that there is a 
#> football on a desk, I'm supposed to see a logical difference between the two?  
#> Perhaps you can explain the difference to me, since you seem to see it
#> so clearly.
#
#      Take a look on the desk - i.e., perform a test. If(football) THEN
#(accept theory) ELSE DO (Tell people they're hallucinating).
#
#      Now take a look at morality. See anything? If so, please inform me
#which way to look, and WHY to look that particular way, as opposed to
#some other. Get my drift?

No. Just look.  Are you claiming never to know what good means?

#>#      *Science* is a whole other matter altogether.
#> 
#> Says you.  Prove that those who disagree are wrong?
#
#      That's a simple(?) matter of proving the track record of the
#scientific method.

I think it's great, and should be applied to values.  I may be completely
wrong, but that's what I conclude as a result of quite an amount of
thought.
",0
"
: 	This comes indirectly from Al Morgani who works in the studio
: for ESPN hockey.
[Some text deleted]
: 	ESPN is under contractual obligation to show baseball and COULD NOT
: broadcast the OT of the hockey game.  Next year, ESPN2 will be introduced so 
: baseball fans can watch baseball and hockey fans can watch hockey.

I hadn't heard about this new ESPN2. When is this new network
supposed to start? Sounds great to me! (as long as my cable co.
offers it)
",1
"
Where does the shadow come from?  There's nothing close enough to block
sunlight from hitting them.  I wouldn't expect there to be anything block
our view of them either.  What am I missing?",2
"[deleted]
[deleted]
Ok, so those scientists can get around the atmosphere with fancy
computer algorythims, but have you looked ad the Hubble results, the
defects of the mirror are partially correctable with software (see
those jupiter pictures for results), but is the effects are completely
reversable, why is there going to be a shuttle mission to fix it?

The way I see it (and please, astromomers give me a swift net-kick in
the butt if i'm out of the ball park), the astromers are making the
best of limited possiblities, there's only one hubble, and the shuttle
makes another in the near future a non-thought.  Perhaps those self
same billboards could have small optical receptors of a limited kind
mounted on the reverse sides of the mirror's (if that is what is used)
and then the whole thing becomes a giant array telescope...

-- ",2
"You might want to clarify the 11 game winning streak.  That Pens streak
is a PLAYOFF streak (tied by the Chicago Blackhawks, who had won 11 in a row
until they met the Pens in the finals last year)  The 18 game unbeaten, so far,
is a regular season unbeaten streak.  But hey, don't take it personally.  I'm a
Flyers fan and two in a row is a stretch.  But with a healthy Lindros, Recchi,
Brind'amour and Tommy Soderstrom, they'll be there next year!
By the way, since the Flyers need defenseman, what kind of trade would
anybody suggest from the existing Flyers roster since the scuttlebutt is that

Terry Carkner won't be there next year and apart from him a piece of notebook
paper would be better defense.",1
": FINLAND:  
: 
: D-Jyrki Lumme.......20
: D-Teppo Numminen....20
: D-Peter Ahola.......13
: 
Well well, they don't like our defenders (mainly Lumme and Numminen)...

: C-Jari Kurri........25
: C-Christian Ruuttu..16
: 
Now, do YOU think that Ruuttu is only worth 16 ? I think it might be 20.

: R-Teemu Selanne.....27
: 
Compared to Kurri, Selanne's points are too high, lets make it 25 or 26.


: well in the Canada Cup and World Championships largely due to the efforts of
: Markus Ketterer (the goalie), 3-4 or the players listed above and luck. There's
: presumably a lot of decent players in Finland that wouldn't be superstars at
: the highest level but still valuable role players, however. My guess would be
: that the Finnish Canada Cup team would be a .500 team in the NHL.

Wow, now, it looks like you don't like our players? What about guys like:
Nieminen, Jutila, Riihijarvi, Varvio, Laukkanen, Makela, Keskinen and (even
if he is aging) Ruotsalainen? The main difference between finnish and North-
American players is, that our players tend to be better in the larger rink.
The Canadian defenders are usually slower that defenders in Europe. 
And I think that there was more in our success than Ketterer and luck (though
they helped). I think that the main reason was, that the team worked well
together.",1
"
Right.


The Branch Dividians were. They believed and trusted so much that it became
impossible to turn back to reality. What you are advocating is total
irreversible brainwashing.",0
"Okay, the earth has a magnetic field (unless someone missed something?)

Okay if you put a object in the earth magnetic field, it produces electricty..

Now the question. Can you use electricity to power a space/low earth orbit
vehicle? and i fyou can, can you use the magnetic field of the earth to power
it??
Can the idea of a ""dragless"" satellite be used in part to create the electrical
field?

After all the dragless satellite is (I might be wrong), a suspended between to
pilons, the the pilons compensate for drag.. I think I know what I want to say,
just not sure how to say it..

A dragless satellite sounds interestingly enough liek a generator.

==
Michael Adams, nsmca@acad3.alaska.edu -- I'm not high, just jacked",2
